x,y,z,blade_engaged
0.016089,-0.001333,0.058357,1
0.016065,-0.001182,0.058340,1
0.016047,-0.001027,0.058319,1
0.016081,-0.000839,0.058273,1
0.016011,-0.000716,0.058274,1
0.015994,-0.000560,0.058251,1
0.015978,-0.000403,0.058227,1
0.016087,-0.000147,0.058137,1
0.016161,-0.000126,0.058106,1
0.015998,0.000092,0.058116,1
0.016022,0.000241,0.058075,1
0.016046,0.000389,0.058034,1
0.016069,0.000537,0.057993,1
0.016052,0.000641,0.057978,1
0.015972,0.000693,0.057998,1
0.016013,0.001207,0.057858,1
0.015963,0.001221,0.057874,1
0.015912,0.001236,0.057890,1
0.015921,0.001432,0.057835,1
0.015962,0.001687,0.057751,1
0.015878,0.001798,0.057754,1
0.015804,0.001927,0.057748,1
0.015828,0.002064,0.057698,1
0.015852,0.002201,0.057649,1
0.015698,0.002414,0.057655,1
0.015733,0.002431,0.057635,1
0.015794,0.002750,0.057514,1
0.015477,0.002883,0.057612,1
0.015509,0.003007,0.057561,1
0.015540,0.003130,0.057510,1
0.015488,0.003326,0.057476,1
0.015588,0.003375,0.057410,1
0.015609,0.003503,0.057358,1
0.015280,0.003900,0.057396,1
0.015240,0.003902,0.057415,1
0.015164,0.004051,0.057402,1
0.015204,0.004090,0.057368,1
0.015243,0.004128,0.057335,1
0.014930,0.004638,0.057334,1
0.014927,0.004637,0.057336,1
0.014922,0.004635,0.057339,1
0.014642,0.004963,0.057387,1
0.014750,0.005144,0.057264,1
0.014659,0.005216,0.057291,1
0.014571,0.005346,0.057298,1
0.014501,0.005490,0.057290,1
0.014431,0.005634,0.057281,1
0.014370,0.005779,0.057266,1
0.014308,0.005925,0.057250,1
0.014246,0.006072,0.057234,1
0.014197,0.006210,0.057213,1
0.014153,0.006358,0.057183,1
0.014109,0.006505,0.057153,1
0.013950,0.006680,0.057184,1
0.013983,0.006721,0.057147,1
0.013945,0.006938,0.057079,1
0.013711,0.007115,0.057146,1
0.013745,0.007162,0.057106,1
0.013733,0.007333,0.057034,1
0.013652,0.007469,0.057018,1
0.013571,0.007606,0.057002,1
0.013509,0.007706,0.056987,1
0.013426,0.007840,0.056964,1
0.013343,0.007975,0.056941,1
0.013280,0.008068,0.056928,1
0.013205,0.008196,0.056895,1
0.013121,0.008329,0.056863,1
0.013037,0.008462,0.056831,1
0.013009,0.008566,0.056788,1
0.012889,0.008616,0.056810,1
0.012803,0.008929,0.056664,1
0.012808,0.008931,0.056661,1
0.012792,0.009038,0.056594,1
0.012675,0.009118,0.056584,1
