x,y,z,blade_engaged
-0.005553,0.004389,0.059727,1
-0.005845,0.004287,0.059677,1
-0.005639,0.004279,0.059747,1
-0.005738,0.004424,0.059651,1
-0.005733,0.004409,0.059659,1
-0.006217,0.004346,0.059528,1
-0.006231,0.004292,0.059543,1
-0.006245,0.004239,0.059559,1
-0.006259,0.004185,0.059574,1
-0.006143,0.003949,0.059703,1
-0.006455,0.003988,0.059587,1
-0.006451,0.003982,0.059590,1
-0.006447,0.003976,0.059594,1
-0.006443,0.003969,0.059597,1
-0.006444,0.003755,0.059672,1
-0.006508,0.003711,0.059667,1
-0.006571,0.003666,0.059661,1
-0.006700,0.003880,0.059554,1
-0.006697,0.003578,0.059650,1
-0.006977,0.003646,0.059542,1
-0.006823,0.003489,0.059639,1
-0.006886,0.003444,0.059634,1
-0.007067,0.003431,0.059584,1
-0.007078,0.003439,0.059579,1
-0.007100,0.003314,0.059609,1
-0.007167,0.003282,0.059599,1
-0.007234,0.003250,0.059589,1
-0.007299,0.003219,0.059579,1
-0.007365,0.003187,0.059569,1
-0.007430,0.003156,0.059560,1
-0.007447,0.003066,0.059579,1
-0.007559,0.003014,0.059561,1
-0.007601,0.002945,0.059567,1
-0.007642,0.002876,0.059574,1
-0.007683,0.002806,0.059580,1
-0.007724,0.002737,0.059587,1
-0.007765,0.002667,0.059594,1
-0.007803,0.002604,0.059599,1
-0.007850,0.002535,0.059602,1
-0.007898,0.002467,0.059605,1
-0.007946,0.002397,0.059609,1
-0.007994,0.002328,0.059612,1
-0.008043,0.002257,0.059615,1
-0.008212,0.002212,0.059582,1
-0.008201,0.002159,0.059597,1
-0.008255,0.002101,0.059597,1
-0.008310,0.002009,0.059604,1
-0.008374,0.001988,0.059594,1
-0.008437,0.001968,0.059583,1
-0.008503,0.001946,0.059572,1
-0.008660,0.001643,0.059595,1
-0.008637,0.001902,0.059550,1
-0.008354,0.001522,0.059688,1
-0.008611,0.001571,0.059620,1
-0.008745,0.001333,0.059637,1
-0.008788,0.001337,0.059627,1
-0.009048,0.001223,0.059588,1
-0.008874,0.001348,0.059606,1
-0.009014,0.001124,0.059613,1
-0.008996,0.001074,0.059625,1
-0.008978,0.001023,0.059638,1
-0.009170,0.000784,0.059642,1
-0.009186,0.000790,0.059638,1
-0.009202,0.000797,0.059633,1
-0.009220,0.000805,0.059628,1
-0.009508,0.000574,0.059606,1
-0.009504,0.000495,0.059620,1
-0.009500,0.000414,0.059634,1
-0.009496,0.000333,0.059648,1
-0.009586,0.000234,0.059647,1
-0.009633,0.000116,0.059658,1
-0.009709,0.000102,0.059646,1
-0.009784,0.000087,0.059634,1
-0.009860,0.000073,0.059622,1
-0.009687,-0.000294,0.059708,1
-0.009733,-0.000396,0.059714,1
-0.009978,-0.000337,0.059660,1
-0.010262,-0.000499,0.059633,1
-0.010258,-0.000591,0.059646,1
-0.010283,-0.000535,0.059634,1
-0.010452,-0.000848,0.059641,1
-0.010436,-0.000866,0.059646,1
-0.010556,-0.001129,0.059658,1
-0.010628,-0.001126,0.059645,1
-0.010695,-0.001127,0.059632,1
-0.010759,-0.001127,0.059620,1
-0.010803,-0.001661,0.059665,1
-0.010778,-0.001487,0.059654,1
-0.010921,-0.001670,0.059643,1
-0.010978,-0.001674,0.059632,1
-0.011108,-0.001963,0.059625,1
-0.011069,-0.002003,0.059636,1
-0.011019,-0.002059,0.059649,1
-0.010964,-0.002118,0.059663,1
-0.011024,-0.002440,0.059667,1
-0.010996,-0.002440,0.059672,1
-0.010967,-0.002440,0.059679,1
-0.010861,-0.002654,0.059701,1
-0.010880,-0.002681,0.059697,1
-0.010900,-0.002703,0.059692,1
-0.010747,-0.003042,0.059737,1
-0.010742,-0.003041,0.059738,1
-0.010743,-0.003054,0.059737,1
-0.010476,-0.003271,0.059790,1
-0.010478,-0.003273,0.059789,1
-0.010473,-0.003269,0.059791,1
-0.010466,-0.003266,0.059793,1
-0.010155,-0.003622,0.059840,1
-0.010152,-0.003618,0.059842,1
-0.010111,-0.003689,0.059841,1
-0.010021,-0.003695,0.059860,1
-0.009930,-0.003700,0.059880,1
-0.009836,-0.003883,0.059870,1
-0.009845,-0.003899,0.059866,1
-0.009649,-0.004041,0.059869,1
-0.009551,-0.004041,0.059885,1
-0.009332,-0.004134,0.059900,1
-0.009317,-0.004210,0.059887,1
-0.009302,-0.004284,0.059874,1
-0.009065,-0.004221,0.059919,1
-0.009003,-0.004448,0.059881,1
-0.008949,-0.004420,0.059894,1
-0.008894,-0.004391,0.059908,1
-0.008825,-0.004565,0.059874,1
-0.008527,-0.004701,0.059880,1
-0.008502,-0.004674,0.059890,1
-0.008473,-0.004649,0.059899,1
-0.008447,-0.004624,0.059909,1
-0.008035,-0.004829,0.059905,1
-0.008180,-0.004900,0.059869,1
-0.008040,-0.004894,0.059888,1
-0.007897,-0.004984,0.059885,1
-0.007838,-0.004954,0.059901,1
-0.007761,-0.005165,0.059850,1
-0.007662,-0.005196,0.059853,1
-0.007604,-0.005215,0.059855,1
-0.007340,-0.005069,0.059932,1
-0.007277,-0.005135,0.059921,1
-0.007222,-0.005280,0.059885,1
-0.007206,-0.005263,0.059893,1
-0.007193,-0.005248,0.059899,1
-0.007038,-0.005406,0.059865,1
-0.006985,-0.005469,0.059851,1
-0.006932,-0.005531,0.059836,1
-0.006676,-0.005513,0.059882,1
-0.006679,-0.005526,0.059877,1
-0.006527,-0.005684,0.059847,1
-0.006476,-0.005662,0.059863,1
-0.006425,-0.005641,0.059879,1
-0.006375,-0.005620,0.059896,1
-0.006324,-0.005599,0.059912,1
-0.006062,-0.005664,0.059927,1
-0.006009,-0.005720,0.059913,1
-0.006015,-0.005863,0.059853,1
-0.005973,-0.005843,0.059869,1
-0.005930,-0.005821,0.059885,1
-0.005845,-0.005969,0.059832,1
-0.005821,-0.006020,0.059813,1
-0.005683,-0.006014,0.059839,1
-0.005686,-0.006033,0.059830,1
-0.005491,-0.006105,0.059835,1
-0.005447,-0.006080,0.059855,1
-0.005331,-0.006143,0.059845,1
-0.005319,-0.006179,0.059830,1
-0.005308,-0.006215,0.059814,1
-0.004968,-0.006278,0.059845,1
-0.004967,-0.006278,0.059846,1
-0.004966,-0.006276,0.059847,1
-0.004965,-0.006274,0.059848,1
-0.004787,-0.006315,0.059862,1
-0.004741,-0.006362,0.059846,1
-0.004696,-0.006408,0.059831,1
-0.004651,-0.006453,0.059816,1
-0.004606,-0.006498,0.059801,1
-0.004443,-0.006457,0.059860,1
-0.004443,-0.006455,0.059862,1
-0.004442,-0.006452,0.059863,1
